Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
Chlorambucil,"4-(p-bis(beta-chloroethyl)aminophenyl)butyric acid | 4-(p-bis(b-chloroethyl)aminophenyl)butyric acid | 4-[p-[bis(2-chloroethyl)amino]phenyl]butyric acid | Ambochlorin | Chlorambucil | Chloraminophen | Clorambucilo | gamma-[p-di(2-chloroethyl)aminophenyl]butyric acid | N,N-di-2-chloroethyl-gamma-p-aminophenylbutyric acid | N,N-di-2-chloroethyl-g-p-aminophenylbutyric acid | Phenylbutyric acid nitrogen mustard | g-[p-di(2-chloroethyl)aminophenyl]butyric acid|Leukeran 2 mg tablet"
Etomidate,(+)-ethyl 1-(a-methylbenzyl)imidazole-5-carboxylate | (+)-etomidate | (R)-(+)-1-(a-methylbenzyl)imidazole-5-carboxylic acid ethyl ester | (R)-1-(1-phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester | 3-((R)-1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester | Etomidate | Etomidato | Etomidatum | R-(+)-ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate|Amidate 2 mg ml vial|Amidate 2 mg ml ampul|Etomidate 2 mg ml vial
Raltitrexed,Raltitrexed
Etonogestrel,3-Ketodesogestrel | 3-Oxodesogestrel | Etonogestrel | etonogestrel | Etonogestrelum|Implanon 68 mg implant
Morphine,"(-)-morphine | (5alpha,6alpha)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol | (5alpha,6alpha)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol | (5R,6S,9R,13S,14R)-4,5-epoxy-N-methyl-7-morphinen-3,6-diol | (5a,6a)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol | (5a,6a)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol | (7R,7AS,12bs)-3-methyl-2,3,4,4a,7,7a-hexahydro-1H-4,12-methano[1]benzofuro[3,2-e]isoquinoline-7,9-diol | Anhydrous morphine | Morfina | Morphia | Morphin | Morphine | Morphinum | Morphium|Depodur 15 mg 1.5 ml vial|Roxanol 20 mg ml Solution 120ml Bottle|Morphine Sulfate 20 mg 5ml Solution 500ml Bottle|Apokyn 30 mg 3 ml cartridge|Morphine Sulfate 10 mg 5ml Solution 500ml Bottle|Kadian er 200 mg capsule|Kadian er 100 mg capsule|Roxanol 20 mg ml Solution 30ml Bottle|Morphine Sulfate 10 mg 5ml Solution 100ml Bottle|Oramorph sr 60 mg tablet|Ms contin 200 mg tablet|Kadian er 80 mg capsule|Roxanol 20 mg ml Solution 240ml Bottle|Avinza 90 mg capsule|Oramorph sr 100 mg tablet|Kadian 100 mg 24 Hour Capsule|MS Contin 200 mg 12 Hour tablet|Kadian 100 mg capsule sr|Kadian er 60 mg capsule|AVINza 90 mg 24 Hour Capsule|Kadian 80 mg capsule sr|Avinza 120 mg capsule|Kadian er 50 mg capsule|Ms contin 100 mg tablet|Avinza 60 mg capsule|AVINza 120 mg 24 Hour Capsule|Avinza 75 mg capsule|Morphine sulfate powder|Avinza 45 mg capsule|Kadian 60 mg 24 Hour Capsule|Morphine Sulfate CR 200 mg 12 Hour tablet|MS Contin 100 mg 12 Hour tablet|Morphine sulf 30 mg suppository|AVINza 60 mg 24 Hour Capsule|Ms contin 60 mg tablet|Infumorph 10 mg ml ampul p-f|Kadian 50 mg 24 Hour Capsule|Kadian er 30 mg capsule|Oramorph sr 30 mg tablet|Morphine sulf 20 mg suppository|Kadian er 10 mg capsule|Morphine sulf 10 mg suppository|Avinza 30 mg capsule|MS Contin 60 mg 12 Hour tablet|Kadian er 20 mg capsule|Ms Contin 200 mg Sustained-Release Tablet|Kadian 30 mg 24 Hour Capsule|Kadian 20 mg 24 Hour Capsule|AVINza 30 mg 24 Hour Capsule|Morphine sulf 5 mg suppository|Morphine Sulfate CR 100 mg 12 Hour tablet|M-Eslon 200 mg Extended-Release Capsule|Oramorph sr 15 mg tablet|Ms contin cr 30 mg tablet|Kadian 10 mg capsule sr|Morphine Hp 50 50 mg ml|Kadian 10 mg 24 Hour Capsule|Ms contin 15 mg tablet|MS Contin 30 mg 12 Hour tablet|Novo-Morphine Sr 200 mg Sustained-Release Tablet|Pms-Morphine Sulfate Sr 200 mg Sustained-Release Tablet|Ms Contin 100 mg Sustained-Release Tablet|Morphine Sulfate CR 60 mg 12 Hour tablet|Morphine Hp 25 25 mg ml|Statex 30 mg Suppository|Kadian 100 mg Sustained-Release Capsule|Statex 20 mg Suppository|Morphine Lp Epidural 1 mg ml|M-Eslon 100 mg Extended-Release Capsule|MS Contin 15 mg 12 Hour tablet|Ms Contin 60 mg Sustained-Release Tablet|Statex 10 mg Suppository|Morph sulf 5 mg 0.25 ml vial|Statex 5 mg Suppository|Novo-Morphine Sr 100 mg Sustained-Release Tablet|Pms-Morphine Sulfate Sr 100 mg Sustained-Release Tablet|Morphine Sulfate CR 30 mg 12 Hour tablet|Morphine 8 mg ml ampule|Kadian 50 mg Sustained-Release Capsule|Duramorph 0.5 mg ml ampul|Astramorph-pf 1 mg ml ampul|Ms Contin 30 mg Sustained-Release Tablet|Morphine Lp Epidural 0.5 mg ml|Morphine Sulfate 15 mg ml|Morphine Sulfate 10 mg ml|Novo-Morphine Sr 60 mg Sustained-Release Tablet|Pms-Morphine Sulfate Sr 60 mg Sustained-Release Tablet|Ratio-Morphine Sulfate Sr 60 mg Sustained-Release Tablet|M-Eslon 60 mg Extended-Release Capsule|Statex 50 mg ml Drops|Morphine Sulfate CR 15 mg 12 Hour tablet|Duramorph 1 mg ml ampul|M.O.S.-Sr 60 mg Sustained-Release Tablet|Morphine 50 mg 25 ml-d5w syr|Morphine-ns 10 mg ml syringe|Morphine-ns 5 mg ml syringe|Ms Contin 15 mg Sustained-Release Tablet|Morphine 5 mg ml vial|Kadian 20 mg Sustained-Release Capsule|Astramorph-pf 0.5 mg ml amp|Morphine Sulfate 15 mg tablet|Morphine Sulfate 30 mg tablet|Morphine 1 mg ml vial p-f|Morphine-ns 1 mg ml syringe|Novo-Morphine Sr 30 mg Sustained-Release Tablet|Pms-Morphine Sulfate Sr 30 mg Sustained-Release Tablet|Ratio-Morphine Sulfate Sr 30 mg Sustained-Release Tablet|M-Eslon 30 mg Extended-Release Capsule|Morphine 0.5 mg ml vial|Morphine sulfate 50 mg ml vial|Morphine sulfate ir 30 mg tablet|Ratio-Morphine 20 mg ml Syrup|Statex 20 mg ml Drops|M.O.S.-Sr 30 mg Sustained-Release Tablet|Morphine 1 mg ml syringe|Morphine 10 mg ml vial|Ms.Ir 30 mg Tablet|Morphine sulfate 25 mg ml vial|Morphine sulf 1 mg ml vial|M.O.S. Sulfate 50 mg Tablet|Statex 50 mg Tablet|Kadian 10 mg Sustained-Release Capsule|M-Eslon 15 mg Extended-Release Capsule|Ms.Ir 20 mg Tablet|Novo-Morphine Sr 15 mg Sustained-Release Tablet|Pms-Morphine Sulfate Sr 15 mg Sustained-Release Tablet|Ratio-Morphine Sulfate Sr 15 mg Sustained-Release Tablet|M-Eslon 10 mg Extended-Release Capsule|Morphine sulfate ir 15 mg tablet|Morphine 15 mg ml vial|Morphine-ns 25 mg 25 ml syr|M.O.S. Sulfate 25 mg Tablet|Statex 25 mg Tablet|Ms.Ir 10 mg Tablet|Ratio-Morphine 10 mg ml Syrup|M.O.S. Sulfate 10 mg Tablet|Statex 10 mg Tablet|Morphine-ns 5 mg ml|Morphine-ns 55 mg 55 ml syr|Ms.Ir 5 mg Tablet|M.O.S. Sulfate 5 mg Tablet|Statex 5 mg Tablet|Morphine 1 mg ml-d5w 100 ml|Morphine-ns 150 mg 150 ml|Statex 5 mg ml Syrup|Morphine 1 mg ml-d5w 250 ml|Ratio-Morphine 5 mg ml Syrup|Ratio-Morphine 1 mg ml Syrup|Statex 1 mg ml Syrup"
Ropivacaine,"(S)-(-)-1-propyl-2',6'-pipecoloxylidide | (S)-ropivacaine | L-N-n-propylpipecolic acid-2,6-xylidide | Ropivacaina | Ropivacaine | Ropivacainum|Ropivacaine hcl-ns 0.5%|Ropivacaine hcl 0.2% on-q pump|Naropin 10 mg ml ampule|Ropivacaine hcl-ns 0.3%|Ropivacaine-ns 0.1% on-q pump|Naropin 7.5 mg ml ampule|Naropin 5 mg ml vial|Ropivacaine hcl-ns 0.15%|Ropivacaine hcl-ns 0.125%|Naropin 5 mg ml ampule|Naropin 2 mg ml ampule|Ropivacaine hcl-ns 0.1%|Ropivacaine hcl-ns 0.25%|Ropivacaine hcl-ns 0.2%|Naropin 2 mg ml infusion btl"
Bupivacaine,"(+-)-bupivacaine | (RS)-bupivacaine | 1-Butyl-2',6'-pipecoloxylidide | 1-Butyl-N-(2,6-dimethylphenyl)-2-piperidinecarboxamide | Bupivacaina | Bupivacaine | Bupivacainum | dl-1-Butyl-2',6'-pipecoloxylidide | DL-Bupivacaine | racemic bupivacaine|Bupivacaine hcl powder|Sensorcaine-dextr 0.75% amp|Marcaine spinal ampul|Bupivacaine 0.5% on-q pump|Bupivacaine hcl 0.5% on-q pump|Bupivacaine 0.25% on-q pump|Marcaine 0.25% vial|Bupivacaine hcl-ns 0.0625%|Bupivacaine-ns 0.1% on-q pump|Sensorcaine 0.25% vial|Bupivacaine hcl-ns 0.1%|Bupivacaine hcl-ns 0.2%|Bupivacaine 0.25% vial|Bupivacaine 0.25% ampul|Bupivacaine hcl-ns 0.125% bag|Bupivacaine hcl-ns 0.25%"
Dapiprazole,"5,6,7,8-Tetrahydro-3-(2-(4-(o-tolyl)-1-piperazinyl)ethyl)-s-triazolo(4,3-a)pyridine | Dapiprazol | Dapiprazole | Dapiprazolum"
Penciclovir,9-(4-hydroxy-3-(hydroxymethyl)butyl)guanine | 9-(4-hydroxy-3-hydroxymethylbut-1-yl)-guanine | 9-[2-hydroxy-1-(hydroxymethyl)-ethoxymethyl]guanine | 9-[4-hydroxy-3-(hydroxymethyl)but-1-yl]guanine | PCV | PE2 | Penciclovir | Penciclovirum|Denavir 1% Cream 1.5 gm Tube|Denavir 1% cream
Tenofovir disoproxil,Bis(POC)PMPA | Tenofovir bis(isopropyloxycarbonyloxymethyl) ester|Viread 300 mg tablet
Flucloxacillin,"(2S,5R,6R)-6-({[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | 3-(2-Chloro-6-fluorophenyl)-5-methyl-4-isoxazolylpenicillin | Floxacillin | Flucloxacilina | Flucloxacillin | Flucloxacilline | Flucloxacillinum"
Tranexamic acid,Acide tranexamique | acido tranexamico | Acidum tranexamicum | Tranexamic acid | Tranexamsaeure | Tranexmic acid | Tranhexamic acid | Trans AMCHA | trans-4-(Aminomethyl)cyclohexanecarboxylic acid | trans-4-aminomethylcyclohexane-1-carboxylic acid | trans-Amcha | trans-Tranexamic acid|Cyklokapron 100 mg ml ampul|Tranexamic acid powder|Cyklokapron 500 mg Tablet
Ertapenem,"(1R,5S,6S,8R,2'S,4'S)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid | (4R,5S,6S)-3-((3S,5S)-5-((3-carboxyphenyl)carbamoyl)pyrrolidin-3-ylthio)-6-((R)-1-hydroxyethyl)-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid | Ertapenem|Invanz 1 gm add-vantage vial|Invanz 1 gm vial"
Desogestrel,"13-Ethyl-11-methylene-18,19-dinor-17a-pregn-4-en-20-yn-17-ol | Desogestrel | Desogestrel | Desogestrelum|Mircette 28 0.15-0.02 0.01 mg (21 5) tablet Disp Pack|Kariva 28 0.15-0.02 0.01 mg (21 5) tablet Disp Pack|Cyclessa 28 tablet Disp Pack|Desogen 28 day tablet|Cyclessa 28 day tablet"
Mitomycin,7-Amino-9alpha-methoxymitosane | Ametycine | Mitamycin | Mitocin-C | Mitomycin | Mitomycin C | MMC|Mutamycin 40 mg vial|Mutamycin 20 mg vial|Mitomycin 40 mg vial|Mitomycin 20 mg vial|Mutamycin 5 mg vial|Mitomycin 5 mg vial
Talbutal,"(RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione | 5-allyl-5-sec-butylbarbituric acid | sec-Butyl allyl barbituric acid | Talbutal | Talbutale | Talbutalum"
Bexarotene,"4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid | 4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid | Bexaroten | Bexarotene | Bexarotene | Bexaroteno | Bexarotenum | p-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid|Targretin 75 mg capsule|Targretin 75 mg softgel|Targretin 1% gel"
Ibutilide,Ibutilid | Ibutilida | Ibutilide | Ibutilidum | N-(4-{4-[ethyl(heptyl)amino]-1-hydroxybutyl}phenyl)methanesulfonamide|Corvert 1 mg 10 ml vial|Ibutilide fum 1 mg 10 ml vial
Vindesine,3-(aminocarbonyl)-O4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine | 3-carbamoyl-4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine | Desacetylvinblastine amide | Vindesina | Vindesine | Vindesinum
Chlorthalidone,"1-keto-3-(3'-sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline | 1-oxo-3-(3-sulfamyl-4-chlorophenyl)-3-hydroxyisoindoline | 2-chloro-5-(1-hydroxy-3-oxo-1-isoindolinyl)benzenesulfonamide | 2-chloro-5-(2,3-dihydro-1-hydroxy-3-oxo-1H-isoindol-1-yl)benzenesulfonamide | 3-(4'-chloro-3'-sulfamoylphenyl)-3-hydroxyphthalimidine | 3-hydroxy-3-(4-chloro-3-sulfamylphenyl)phthalimidine | Chlorphthalidolone | Chlortalidone | Chlortalidonum | Chlorthalidone | Clortalidona | Phthalamodine | Phthalamudine|Tenoretic 100 100-25 mg tablet|Tenoretic 100 tablet|Tenoretic 50 50-25 mg tablet|Tenoretic 50 tablet|Thalitone 15 mg tablet|Chlorthalidone 100 mg tablet|Chlorthalidone 50 mg tablet|Chlorthalidone 25 mg tablet|Apo-Chlorthalidone 50 mg Tablet"
Ethoxzolamide,"6-Ethoxy-1,3-benzothiazole-2-sulfonamide | Ethoxazolamide | Ethoxyzolamide"
Pentobarbital,"5-Ethyl-5-(1-methyl-butyl)-pyrimidine-2,4,6-trione | 5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-ethyl-5-(1-methylbutyl)barbituric acid | 5-ethyl-5-(sec-pentyl)barbituric acid | Pentobarbital | Pentobarbitone|Pentobarbital sodium powder|Nembutal sodium 50 mg ml via"
Valproic acid,2-n-propyl-n-valeric acid | 2-propyl-pentanoic acid | 2-Propylpentanoic Acid | 2-Propylvaleric Acid | 4-heptanecarboxylic acid | acide valproique | acido valproico | acidum valproicum | di-n-propylacetic acid | Di-n-propylessigsaure | Dipropylacetic acid | DPA | n-DPA | Valproate | Valproic acid | Valproinsaure | VPA|Valproic acid liquid|Depakene 250 mg capsule|Valproic acid 250 mg capsule|Depakene 250 mg 5ml Syrup|Novo-Valproic 500 mg Enteric-Coated Capsule|Pms-Valproic Acid E.C. 500 mg Enteric-Coated Capsule|Apo-Valproic 250 mg Capsule|Mylan-Valproic 250 mg Capsule|Novo-Valproic 250 mg Capsule|Nu-Valproic 250 mg Capsule|Pms-Valproic Acid 250 mg Capsule|Ratio-Valproic 250 mg Capsule|Sandoz Valproic 250 mg Capsule|Valproic Acid 250 mg 5ml Syrup|Valproic acid 250 mg 5 ml syr|Depakene 50 mg ml Syrup|Apo-Valproic 50 mg ml Syrup|Pms-Valproic Acid 50 mg ml Syrup|Ratio-Valproic 50 mg ml Syrup
Capreomycin,Capreomicina | Capreomycin|Capastat sulfate 1 gm vial
Zolmitriptan,"(S)-4-({3-[2-(dimethylamino)ethyl]-1H-indol-5-yl}methyl)-1,3-oxazolidin-2-one | 4-[[3-(2-dimethylaminoethyl)-1H-indol-5-yl]methyl]oxazolidin-2-one | Zolmitriptan | Zolmitriptan | Zolmitriptanum|Zomig 6 5 mg Solution 1 Box = 6 Single Use Bottles|Zomig ZMT 6 2.5 mg Dispersible Tablet Box|Zomig 6 2.5 mg tablet 1 Box = 6 tablet|Zomig 3 5 mg tablet Box|Zomig ZMT 3 5 mg Dispersible Tablet Box|Zomig 5 mg nasal spray|Zomig 5 mg tablet|Zomig zmt 5 mg tablet|Zomig 2.5 mg tablet|Zomig zmt 2.5 mg tablet"
Acetaminophen,4-(Acetylamino)phenol | 4-acetamidophenol | 4'-hydroxyacetanilide | Acenol | Acetaminofen | Acetaminophene | APAP | N-acetyl-p-aminophenol | p-acetamidophenol | p-acetaminophenol | p-Acetylaminophenol | p-hydroxy-acetanilid | p-hydroxyacetanilide | p-hydroxyphenolacetamide | Paracetamol | Paracetamol | Paracetamolum|Tylenol 100 325 mg tablet Bottle|Phrenilin Forte 50-650 mg capsule|Phrenilin forte capsule|Norco 7.5-325 tablet|Norco 10-325 tablet|Propoxyphen-apap 100-325 mg tablet|Darvocet-N 100 100-650 mg tablet|Norco 10-325 mg tablet|Ultracet 37.5-325 mg tablet|Propoxyphen-apap 100-500 mg tablet|Ultracet tablet|Darvocet-n 100 tablet|Tylenol with Codeine #4 300-60 mg tablet|Phrenilin 50-325 mg tablet|Norco 7.5-325 mg tablet|Darvocet a500 tablet|Norco 5-325 mg tablet|Darvocet A500 100-500 mg tablet|Phrenilin tablet|Norco 5-325 tablet|Darvocet-n 50 tablet|Hydrocodone-apap 10-750 tablet|Tylenol with Codeine #3 300-30 mg tablet|Tencon tablet|Hydrocodone-apap 7.5-650 tablet|Propoxyphene-apap 50-325 mg tablet|Co-gesic 5-500 tablet|Sedapap 50-650 mg tablet|Clemastine fum 2.68 mg tablet|Feverall 120 mg suppository|Feverall 325 mg suppository|Feverall 80 mg suppository|Tavist nd 10 mg tablet|Darvocet-N 50 50-325 mg tablet|Hydrocodone-apap 10-325 tablet|Hydrocodone-apap 7.5-325 tablet|Hydrocodone-apap 10-660 tablet|Acephen 650 mg suppository|Propoxyphen-apap 100-650 mg tablet|Acephen 120 mg suppository|Acephen 325 mg suppository|Hydrocodone-apap 5-325 tablet|Hydrocodone-apap 10-500 tablet|Tavist-1 1.34 mg tablet|Acetaminophen 325 mg suppository|Feverall 650 mg suppository|Drixoral cold allergy tablet sa|Acetaminophen 650 mg suppository|Acetaminophen 120 mg suppository|Apap-butalbital 325-50 tablet|Hydrocodone-apap 10-650 tablet|Hydrocodone-apap 2.5-500 tablet|Tylenol flu max-strn gelcap|Momentum caplet|Tylenol cold gelcap|Tylenol cold head congestion|Tylenol cold multi-symp gelcap|Tylenol allergy m-s caplet|Tylenol cold multi-symptom caplet|Tylenol cold head cong caplet|Tylenol cold multi-symp caplet|Tylenol cold severe congestion|Tylenol sinus caplet|Excedrin quicktabs|Tylenol allergy m-s night caplet|Tylenol chest congestion caplet|Tylenol cold head congest caplet|Tylenol sinus congestionpain|Excedrin menstrual cmplt gelcap|Jr. tylenol 160 mg meltaways|Tylenol allergy complete caplet|Tylenol allergy complete gelcap|Tylenol allergy sinus gelcap|Tylenol allergy sinus geltab|Tylenol flu nighttime gelcap|Tylenol sinus congest-pain caplet|Tylenol sinus gelcap|Tylenol sinus geltab|Tylenol sinus nighttime caplet|Tylenol arthritis geltab|Child tylenol cold cough tablet|Childrens apap 80 mg tablet chew|Tavist max-str sinus caplet|Tylenol allergy sinus caplet|Tylenol cold caplet|Tylenol severe allergy caplet|Tylenol allergy multi-symptom|Tylenol cold relief nightime|Tylenol pm ex-strength gelcap|Womens tylenol 500-25 capsule|Excedrin migraine geltabs|Tylenol cold relief caplet|Excedrin extra strength caplet|Excedrin migraine caplet|Excedrin sinus headache tablet|Excedrin tension headache tablet|Hydrocodone-apap 7.5-750 tablet|Tylenol arthritis caplet sa|Tylenol ex-str 500 mg tablet|Acetaminophen 650 mg caplet|Apap jr str 160 mg tablet chew|Hydrocodone-apap 7.5-500 tablet|Tylenol day night value pack|Acetaminophen 500 mg geltab|Acetaminophen 500 mg tablet|Childs tylenol 80 mg meltaway|Eql pain relief 500 mg caplet|Eql pain relief 500 mg geltab|Excedrin back body caplet|Excedrin sinus headache caplet|Excedrin tension headache caplet|Soba pain rel 500 mg gelcap|Tylenol 8 hour 650 mg caplet|Tylenol p.m. ex-str geltab|Tylenol pm ex-strength caplet|Acetaminophen 160 mg tablet chw|Pain reliever 500 mg caplet|Tylenol ex-str 500 mg geltab|Acetaminophen pm caplet|Excedrin pm 500-38 mg tablet|Pain reliever 160 mg tablet|Tylenol es for arthritis pain|Tylenol ex-str 500 mg caplet|Tylenol pm ex-strength geltab|Acetaminophen 80 mg tablet chew|Acetaminophen powder dense|Apap 325 mg tablet|Apap childs 80 mg tablet chew|Soba pain rel xs 500 mg tablet|Tylenol 325 mg tablet|Acetaminophen 500 mg gelcap|CVS Pharmacy non-aspirin 500 mg caplet|CVS Pharmacy non-aspirin 500 mg tablet|CVS Pharmacy pain relief 500 mg gelcap|CVS Pharmacy pain rlf cool ice caplet|Eql pain relief 325 mg tablet|Pain relief 500 mg caplet|Pain reliever 325 mg tablet|Soba pain reliever 500 mg tablet|Child tylenol cough-runny nose|Child tylenol cough-sore thrt|Childs tylenol cold-cough susp|Mapap 325 mg tablet|Non-aspirin 500 mg geltab|Pain relief without asa tablet|Tylenol ex-str 500 mg gelcap|Childs tylenol cold-aller susp|Childs tylenol plus cold susp|Childs tylenol plus flu susp|CVS Pharmacy acetaminophen 325 mg tablet|Non-aspirin 500 mg tablet|Pain reliever 500 mg geltab|Q-pap ex-str 500 mg tablet|Ra acetaminophen pm caplet|Acetaminophen 325 mg tablet|Acetaminophen 500 mg caplet|Genapap 325 mg tablet|Genapap 500 mg tablet|Pain relief 500 mg tablet|Pain reliever 500 mg gelcap|Pain reliever 500 mg tablet|Pain relief 325 mg tablet|Pain reliever w-o asa 325 mg|Tylenol cold flu severe liq|Tylenol cold m-s severe day liquid|Tylenol cough sore throat lq|Tylenol nighttime liquid|Tylenol pm liquid|Tylenol sore throat liquid|Maxapap 325 mg tablet|Maxapap 500 mg caplet|Maxapap 500 mg tablet
Gefitinib,4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline | Gefitinib | N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine|Tarceva 150 mg tablet|Tarceva 100 mg tablet|Iressa 250 mg tablet|Tarceva 25 mg tablet
Codeine,"(-)-Codeine | (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol | 7,8-didehydro-4,5a-epoxy-3-methoxy-17-methylmorphinan-6a-ol | Codein | Codeina | Codeine | Codeine anhydrous | Codeine polistirex | Codeinum | L-Codeine | Methylmorphine | morphine 3-methyl ether | Morphine monomethyl ether | morphine-3-methyl ether | O3-Methylmorphine|Codeine phosphate powder|Codeine Phosphate 30 mg ml|Codeine sulfate 60 mg tablet|Codeine sulfate 30 mg tablet|Codeine ph 30 mg ml syringe|Codeine ph 15 mg ml syringe|Codeine sulfate 15 mg tablet|Ratio-Codeine 30 mg Tablet|Ratio-Codeine 15 mg Tablet|Ratio-Codeine 5 mg ml Syrup"
Piperacillin,"(2S,5R,6R)-6-{[(2R)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | Piperacilina | Piperacillin | Piperacillin anhydrous | Piperacillina | Piperacilline | Piperacillinum|Piperacillin 40 gm bulk vial|Piperacillin 4 gm vial|Piperacillin 3 gm vial|Piperacillin 2 gm vial"
Dihydroergotamine,"(2R,4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.02,7.012,16]hexadeca-1(16),9,12,14-tetraene-4-carboxamide | 5'-benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman | 9,10-dihydro-12'-hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione | 9,10-dihydroergotamine | Dihidroergotamina | Dihydroergotamin | Dihydroergotamine | Dihydroergotaminum | Diidroergotamina|D.H.E. 45 1 mg ml Solution 1ml Ampule|D.H.E. 45 1 mg ml ampul|Migranal 4 mg ml Solution 1ml Glass Container|Migranal nasal spray|D.h.e.45 1 mg ml ampul|Dihydroergotamine 1 mg ml am|Dihydroergotamine Mesylate 1 mg ml Solution 1ml Ampule|Migranal 4 mg ml Spray|Dihydroergotamine (Dhe) 1 mg ml|Dihydroergotamine Mesylate 1 mg ml"
Amitriptyline,"10,11-dihydro-5-(g-dimethylaminopropylidene)-5H-dibenzo(a,d)cycloheptene | 10,11-dihydro-N,N-dimethyl-5H-dibenzo(a,d)heptalene-D5,g-propylamine | 3-(10,11-dihydro-5H-dibenzo(a,d)cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine | 3-(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-ylidene)-N,N-dimethylpropan-1-amine | 5-(3-dimethylaminopropylidene)-10,11-dihydro-5H-dibenzo(a,d)cycloheptatriene | 5-(3-dimethylaminopropylidene)-10,11-dihydro-5H-dibenzo(a,d)cycloheptene | 5-(g-dimethylaminopropylidene)-5H-dibenzo[a,d][1,4]cycloheptadiene | Amitriptilina | Amitriptylin | Amitriptyline | Amitriptylinum|Amitriptyline hcl powder|Amitriptyline hcl 150 mg tablet|Amitriptyline hcl 100 mg tablet|Amitriptyline hcl 75 mg tablet|Apo-Amitriptyline 75 mg Tablet|Amitriptyline hcl 50 mg tablet|Amitriptyline hcl 10 mg tablet|Apo-Amitriptyline 50 mg Tablet|Amitriptyline hcl 25 mg tablet|Apo-Amitriptyline 25 mg Tablet|Apo-Amitriptyline 10 mg Tablet"
Floxuridine,1-(2-Deoxy-beta-D-ribofuranosyl)-5-fluorouracil | 1-beta-D-2'-Deoxyribofuranosyl-5-flurouracil | 1beta-D-2'-Deoxyribofuranosyl-5-flurouracil | 2'-Deoxy-5-fluorouridine | 5-Fluoro-2-desoxyuridine | 5-fluoro-2'-deoxyuridine | 5-Fluorodeoxyuridine | 5-Fluorouracil 2'-deoxyriboside | 5-Fluorouracil deoxyriboside | 5FDU | beta-5-Fluoro-2'-deoxyuridine | Deoxyfluorouridine | FdU | Floxiridina | Floxuridin | Floxuridine | Floxuridinum | Fluorodeoxyuridine | Fluoruridine deoxyribose|Floxuridine 500 mg vial|Fudr 500 mg vial
Tolcapone,"(3,4-dihydroxy-5-nitrophenyl)(4-methylphenyl)methanone | 3,4-dihydroxy-4'-methyl-5-nitrobenzophenone | 3,4-dihydroxy-5-nitro-4'-methylbenzophenone | 4'-methyl-3,4-dihydroxy-5-nitrobenzophenone | Tolcapon | Tolcapona | Tolcapone | Tolcaponum|Tasmar 100 mg tablet|Tasmar 200 mg tablet"
